MariaDB [kokiri_apr23]> select distinct revision, branch from test_run where length(revision)<6 order by 2,1;
+----------+---------------------------------+
| revision | branch                          |
| 3647     | 10.0-base-svoj                  |
| 3652     | 10.0-base-svoj                  |
| 3734     | 10.0-base-svoj                  |
| 3756     | 10.0-base-svoj                  |
| 3833     | 10.0-base-svoj                  |
| 3854     | 10.0-base-svoj                  |
| 3869     | 10.0-base-svoj                  |
| 3871     | 10.0-base-svoj                  |
| 3878     | 10.0-base-svoj                  |
| 3881     | 10.0-base-svoj                  |
| 3884     | 10.0-base-svoj                  |
| 3895     | 10.0-base-svoj                  |
| 3898     | 10.0-base-svoj                  |
| 3900     | 10.0-base-svoj                  |
| 3914     | 10.0-base-svoj                  |
| 3916     | 10.0-base-svoj                  |
| 3760     | 10.0-connect                    |
| 3763     | 10.0-connect                    |
| 3765     | 10.0-connect                    |
| 3767     | 10.0-connect                    |
| 3768     | 10.0-connect                    |
| 3769     | 10.0-connect                    |
| 3770     | 10.0-connect                    |
| 3771     | 10.0-connect                    |
| 3772     | 10.0-connect                    |
| 3773     | 10.0-connect                    |
| 3774     | 10.0-connect                    |
| 3775     | 10.0-connect                    |
| 3776     | 10.0-connect                    |
| 3777     | 10.0-connect                    |
| 3778     | 10.0-connect                    |
| 3779     | 10.0-connect                    |
| 3780     | 10.0-connect                    |
| 3781     | 10.0-connect                    |
| 3782     | 10.0-connect                    |
| 3783     | 10.0-connect                    |
| 3784     | 10.0-connect                    |
| 3785     | 10.0-connect                    |
| 3786     | 10.0-connect                    |
| 3787     | 10.0-connect                    |
| 3788     | 10.0-connect                    |
| 3790     | 10.0-connect                    |
| 3793     | 10.0-connect                    |
| 3794     | 10.0-connect                    |
| 3796     | 10.0-connect                    |
| 3797     | 10.0-connect                    |
| 3798     | 10.0-connect                    |
| 3799     | 10.0-connect                    |
| 3800     | 10.0-connect                    |
| 3801     | 10.0-connect                    |
| 3802     | 10.0-connect                    |
| 3803     | 10.0-connect                    |
| 3804     | 10.0-connect                    |
| 3805     | 10.0-connect                    |
| 3806     | 10.0-connect                    |
| 3807     | 10.0-connect                    |
| 3808     | 10.0-connect                    |
| 3809     | 10.0-connect                    |
| 3810     | 10.0-connect                    |
| 3811     | 10.0-connect                    |
| 3812     | 10.0-connect                    |
| 3813     | 10.0-connect                    |
| 3814     | 10.0-connect                    |
| 3815     | 10.0-connect                    |
| 3816     | 10.0-connect                    |
| 3818     | 10.0-connect                    |
| 3820     | 10.0-connect                    |
| 3822     | 10.0-connect                    |
| 3824     | 10.0-connect                    |
| 3825     | 10.0-connect                    |
| 3827     | 10.0-connect                    |
| 3828     | 10.0-connect                    |
| 3829     | 10.0-connect                    |
| 3830     | 10.0-connect                    |
| 3869     | 10.0-connect                    |
| 3870     | 10.0-connect                    |
| 3871     | 10.0-connect                    |
| 3872     | 10.0-connect                    |
| 3873     | 10.0-connect                    |
