MariaDB [kokiri_apr23]> select cast(revision as integer) rev,repository,branch from changes where length(revision) < 6 group by 1;
+------+---------------------------------------------------+---------------------------------------+
| rev  | repository                                        | branch                                |
|  323 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  324 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  325 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  326 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  327 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  328 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  329 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  330 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  331 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  332 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  333 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  334 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  335 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  336 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  337 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  338 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  339 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  340 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  341 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  342 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  343 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  344 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  345 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  346 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  347 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  348 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  349 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  350 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  351 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  352 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  353 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  354 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  355 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  356 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  357 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  358 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  359 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  360 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  361 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  362 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  363 | ~maria-captains/mariadb-java-client/jdbc-knielsen | jdbc-knielsen                         |
|  364 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  365 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  366 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  367 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  368 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  369 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  370 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  371 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  372 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  373 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  374 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  375 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  376 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  377 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  378 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  379 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  380 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  381 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  382 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  383 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  384 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  385 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  386 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  387 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  388 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  389 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  390 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
|  391 | ~maria-captains/mariadb-java-client/trunk         | jdbc-trunk                            |
